Posição;Código IBGE;Município;Unidade federativa;População
3112º;2210656;Sigefredo Pacheco; Piauí;10 058
3113º;3554706;Torrinha; São Paulo;10 056
3114º;4125001;São João do Ivaí; Paraná;10 056
3115º;4317707;Santo Antônio das Missões; Rio Grande do Sul;10 050
3116º;2924678;Piraí do Norte; Bahia;10 036
3117º;4206405;Guaraciaba; Santa Catarina;10 026
3118º;3514601;Dumont; São Paulo;10 023
3119º;4314704;Planalto; Rio Grande do Sul;10 019
3120º;5215009;Nova Veneza; Goiás;10 018
3121º;4312906;Nova Bassano; Rio Grande do Sul;10 005
3122º;3164506;São Sebastião do Maranhão; Minas Gerais;9 963
3123º;3201100;Bom Jesus do Norte; Espírito Santo;9 962
3124º;3543808;Rinópolis; São Paulo;9 961
3125º;5004007;Glória de Dourados; Mato Grosso do Sul;9 950
3126º;4207205;Imaruí; Santa Catarina;9 948
3127º;2800407;Arauá; Sergipe;9 947
3128º;3119203;Coroaci; Minas Gerais;9 943
3129º;4204400;Coronel Freitas; Santa Catarina;9 940
3130º;2200707;Anísio de Abreu; Piauí;9 938
3131º;2509800;Mulungu; Paraíba;9 932
3132º;5203559;Bonfinópolis; Goiás;9 919
3133º;2517001;Umbuzeiro; Paraíba;9 911
3134º;2914109;Ipupiara; Bahia;9 911
3135º;3528601;Manduri; São Paulo;9 910
3136º;4305801;Constantina; Rio Grande do Sul;9 907
3137º;4211058;Monte Carlo; Santa Catarina;9 906
3138º;3133600;Itapeva; Minas Gerais;9 881
3139º;5205901;Corumbaíba; Goiás;9 869
3140º;3532827;Nova Campina; São Paulo;9 860
3141º;2508000;Juru; Paraíba;9 849
3142º;2204808;Ipiranga do Piauí; Piauí;9 838
3143º;3542503;Reginópolis; São Paulo;9 837
3144º;4214201;Quilombo; Santa Catarina;9 829
3145º;3112505;Capim Branco; Minas Gerais;9 826
3146º;5004106;Guia Lopes da Laguna; Mato Grosso do Sul;9 824
3147º;2903953;Bom Jesus da Serra; Bahia;9 823
3148º;4217303;Saudades; Santa Catarina;9 810
3149º;1702901;Axixá do Tocantins; Tocantins;9 787
3150º;2403806;Florânia; Rio Grande do Norte;9 786
3151º;4100707;Alto Piquiri; Paraná;9 778
3152º;2612000;Sairé; Pernambuco;9 764
3153º;3503703;Ariranha; São Paulo;9 761
3154º;5205307;Cavalcante; Goiás;9 725
3155º;2410405;Pureza; Rio Grande do Norte;9 724
3156º;3138658;Lontra; Minas Gerais;9 714
3157º;2906105;Canápolis; Bahia;9 703
3158º;2930766;Sítio do Quinto; Bahia;9 701
3159º;3125903;Ferros; Minas Gerais;9 696
3160º;3126208;Formoso; Minas Gerais;9 688
3161º;2923902;Pau Brasil; Bahia;9 686
3162º;2401305;Campo Grande; Rio Grande do Norte;9 670
3163º;2805109;Pedrinhas; Sergipe;9 665
3164º;3126901;Frei Inocêncio; Minas Gerais;9 664
3165º;2304269;Deputado Irapuan Pinheiro; Ceará;9 662
3166º;4304358;Candiota; Rio Grande do Sul;9 647
3167º;4122503;Roncador; Paraná;9 645
3168º;3200136;Águia Branca; Espírito Santo;9 631
3169º;4122602;Rondon; Paraná;9 622
3170º;3137536;Lagoa Grande; Minas Gerais;9 608
3171º;3519006;Herculândia; São Paulo;9 588
3172º;3148301;Paula Cândido; Minas Gerais;9 584
3173º;3520202;Igaratá; São Paulo;9 583
3174º;1200344;Manoel Urbano; Acre;9 581
3175º;2701506;Campo Grande; Alagoas;9 567
3176º;2203453;Dom Inocêncio; Piauí;9 565
3177º;1101203;Ministro Andreazza; Rondônia;9 559
3178º;2616100;Verdejante; Pernambuco;9 553
3179º;5103452;Denise; Mato Grosso;9 544
3180º;3519253;Iaras; São Paulo;9 517
3181º;5101308;Arenápolis; Mato Grosso;9 502
3182º;4112405;Japurá; Paraná;9 500
3183º;1701002;Ananás; Tocantins;9 492
3184º;5203906;Buriti Alegre; Goiás;9 484
3185º;2102374;Cachoeira Grande; Maranhão;9 478
3186º;3154507;Riacho dos Machados; Minas Gerais;9 476
3187º;5108055;Terra Nova do Norte; Mato Grosso;9 473
3188º;4100301;Agudos do Sul; Paraná;9 470
3189º;2516805;Triunfo; Paraíba;9 464
3190º;2204659;Ilha Grande; Piauí;9 457
3191º;3171030;Verdelândia; Minas Gerais;9 443
3192º;2927101;Rodelas; Bahia;9 442
3193º;3102704;Cachoeira de Pajeú; Minas Gerais;9 442
3194º;2705804;Olho d'Água do Casado; Alagoas;9 441
3195º;3554409;Terra Roxa; São Paulo;9 437
3196º;4216107;São Domingos; Santa Catarina;9 434
3197º;5107941;Tabaporã; Mato Grosso;9 429
3198º;2310001;Palhano; Ceará;9 422
3199º;3113503;Carbonita; Minas Gerais;9 414
3200º;4123857;Santa Maria do Oeste; Paraná;9 410
3201º;3103900;Araújos; Minas Gerais;9 401
3202º;3305307;São Sebastião do Alto; Rio de Janeiro;9 387
3203º;2204204;Francisco Santos; Piauí;9 372
3204º;2924900;Planaltino; Bahia;9 370
3205º;3100500;Açucena; Minas Gerais;9 368
3206º;3545407;Salto Grande; São Paulo;9 364
3207º;5106265;Novo Mundo; Mato Grosso;9 363
3208º;5212808;Mara Rosa; Goiás;9 363
3209º;2805307;Pirambu; Sergipe;9 359
3210º;2907004;Cardeal da Silva; Bahia;9 346
3211º;3511300;Cedral; São Paulo;9 346
3212º;2933406;Wagner; Bahia;9 344
3213º;3304508;Rio das Flores; Rio de Janeiro;9 344
3214º;3515350;Euclides da Cunha Paulista; São Paulo;9 325
3215º;2401404;Baía Formosa; Rio Grande do Norte;9 322
3216º;2907558;Caturama; Bahia;9 316
3217º;3112901;Caputira; Minas Gerais;9 308
3218º;5108956;Nova Monte Verde; Mato Grosso;9 277
3219º;3103009;Antônio Dias; Minas Gerais;9 275
3220º;5214408;Nazário; Goiás;9 260
3221º;1714203;Natividade; Tocantins;9 250
3222º;3205150;Vila Pavão; Espírito Santo;9 244
3223º;5004809;Japorã; Mato Grosso do Sul;9 243
3224º;4305306;Chapada; Rio Grande do Sul;9 239
3225º;2405009;Jaçanã; Rio Grande do Norte;9 238
3226º;1302009;Itapiranga; Amazonas;9 230
3227º;1304005;Silves; Amazonas;9 230
3228º;3535200;Palmeira d'Oeste; São Paulo;9 227
3229º;3119500;Coronel Murta; Minas Gerais;9 215
3230º;2933109;Várzea do Poço; Bahia;9 210
3231º;2206696;Murici dos Portelas; Piauí;9 209
3232º;1600105;Amapá; Amapá;9 187
3233º;2701803;Carneiros; Alagoas;9 159
3234º;2310605;Penaforte; Ceará;9 143
3235º;3504800;Bálsamo; São Paulo;9 139
3236º;3118700;Coqueiral; Minas Gerais;9 128
3237º;2922854;Nova Redenção; Bahia;9 123
3238º;3555802;Urânia; São Paulo;9 120
3239º;2107001;Montes Altos; Maranhão;9 111
3240º;3542107;Rafard; São Paulo;9 101
3241º;2501401;Baía da Traição; Paraíba;9 096
3242º;4313953;Pantano Grande; Rio Grande do Sul;9 083
3243º;5212709;Mambaí; Goiás;9 081
3244º;3152709;Prados; Minas Gerais;9 080
3245º;5000807;Anaurilândia; Mato Grosso do Sul;9 076
3246º;2928950;São Domingos; Bahia;9 072
3247º;2923506;Palmeiras; Bahia;9 071
3248º;2905107;Caém; Bahia;9 058
3249º;4304903;Casca; Rio Grande do Sul;9 051
3250º;4212254;Passo de Torres; Santa Catarina;9 048
3251º;4207650;Iporã do Oeste; Santa Catarina;9 045
3252º;2912004;Ibiassucê; Bahia;9 031
3253º;4125209;São Jorge d'Oeste; Paraná;9 028
3254º;4127882;Tunas do Paraná; Paraná;9 022
3255º;5000906;Antônio João; Mato Grosso do Sul;9 020
3256º;2208650;Queimada Nova; Piauí;9 017
3257º;2102150;Brejo de Areia; Maranhão;9 014
3258º;3514007;Dobrada; São Paulo;9 010
3259º;2704609;Maravilha; Alagoas;9 004
3260º;1720804;Sítio Novo do Tocantins; Tocantins;8 997
3261º;3556909;Vista Alegre do Alto; São Paulo;8 989
3262º;2918456;Jucuruçu; Bahia;8 988
3263º;2602407;Brejão; Pernambuco;8 987
3264º;2807204;Siriri; Sergipe;8 970
3265º;2928307;Santanópolis; Bahia;8 966
3266º;3549508;São José da Bela Vista; São Paulo;8 960
3267º;5211404;Itauçu; Goiás;8 960
3268º;3536604;Paulo de Faria; São Paulo;8 959
3269º;5200050;Abadia de Goiás; Goiás;8 958
3270º;3155405;Rio Novo; Minas Gerais;8 957
3271º;2925931;Quixabeira; Bahia;8 956
3272º;5219407;Santa Rita do Araguaia; Goiás;8 935
3273º;3159209;Santa Rita de Caldas; Minas Gerais;8 924
3274º;3532504;Neves Paulista; São Paulo;8 923
3275º;3128402;Guarani; Minas Gerais;8 918
3276º;3143500;Morada Nova de Minas; Minas Gerais;8 910
3277º;3118908;Cordisburgo; Minas Gerais;8 897
3278º;2921906;Mucugê; Bahia;8 889
3279º;3514304;Dourado; São Paulo;8 878
3280º;1707702;Filadélfia; Tocantins;8 874
3281º;5222054;Vicentinópolis; Goiás;8 873
3282º;4107256;Douradina; Paraná;8 869
3283º;5203401;Bom Jardim de Goiás; Goiás;8 869
3284º;3202553;Ibitirama; Espírito Santo;8 859
3285º;4126009;São Sebastião da Amoreira; Paraná;8 859
3286º;2105948;Lago dos Rodrigues; Maranhão;8 857
3287º;4106001;Congonhinhas; Paraná;8 857
3288º;3546900;Santa Lúcia; São Paulo;8 854
3289º;5108907;Nova Maringá; Mato Grosso;8 850
3290º;3116803;Coluna; Minas Gerais;8 841
3291º;2902302;Aratuípe; Bahia;8 837
3292º;4114906;Marilândia do Sul; Paraná;8 814
3293º;4108957;Guamiranga; Paraná;8 811
3294º;2804458;Nossa Senhora Aparecida; Sergipe;8 809
3295º;2906899;Caraíbas; Bahia;8 801
3296º;2208700;Redenção do Gurgueia; Piauí;8 796
3297º;2933174;Varzedo; Bahia;8 785
3298º;2308807;Moraújo; Ceará;8 779
3299º;3537503;Pereiras; São Paulo;8 773
3300º;4215679;Santa Terezinha; Santa Catarina;8 773
3301º;4201505;Armazém; Santa Catarina;8 759
3302º;2407401;Martins; Rio Grande do Norte;8 758
3303º;3511904;Clementina; São Paulo;8 757
3304º;5102850;Castanheira; Mato Grosso;8 749
3305º;2103125;Central do Maranhão; Maranhão;8 740
3306º;4319802;São Vicente do Sul; Rio Grande do Sul;8 732
3307º;3142601;Monsenhor Paulo; Minas Gerais;8 727
3308º;2206803;Nossa Senhora dos Remédios; Piauí;8 723
3309º;3513207;Cristais Paulista; São Paulo;8 718
3310º;3166709;Serra dos Aimorés; Minas Gerais;8 713
3311º;2900108;Abaíra; Bahia;8 710
3312º;5200803;Alvorada do Norte; Goiás;8 705
3313º;5205455;Cezarina; Goiás;8 703
3314º;3150158;Piedade de Caratinga; Minas Gerais;8 702
3315º;4305009;Catuípe; Rio Grande do Sul;8 701
3316º;2912806;Ibirapuã; Bahia;8 690
3317º;3150505;Pimenta; Minas Gerais;8 688
3318º;3204658;São Domingos do Norte; Espírito Santo;8 687
3319º;5213509;Monte Alegre de Goiás; Goiás;8 684
3320º;3158904;Santana do Manhuaçu; Minas Gerais;8 667
3321º;3157336;Santa Cruz de Minas; Minas Gerais;8 664
3322º;3112802;Capitólio; Minas Gerais;8 663
3323º;3171709;Virgínia; Minas Gerais;8 663
3324º;4217907;Tangará; Santa Catarina;8 662
3325º;3144508;Nazareno; Minas Gerais;8 660
3326º;2509057;Marcação; Paraíba;8 653
3327º;3140555;Mata Verde; Minas Gerais;8 644
3328º;2909000;Cordeiros; Bahia;8 642
3329º;5220504;Serranópolis; Goiás;8 642
3330º;3151008;Piranguinho; Minas Gerais;8 640
3331º;3534807;Ouro Verde; São Paulo;8 620
3332º;3503406;Arealva; São Paulo;8 613
3333º;4201208;Antônio Carlos; Santa Catarina;8 613
3334º;4103503;Califórnia; Paraná;8 606
3335º;2206720;Nazária; Piauí;8 602
3336º;2112001;Tasso Fragoso; Maranhão;8 582
3337º;5105002;Jauru; Mato Grosso;8 582
3338º;2205557;Lagoa Alegre; Piauí;8 577
3339º;2919058;Lajedo do Tabocal; Bahia;8 577
3340º;3300951;Comendador Levy Gasparian; Rio de Janeiro;8 576
3341º;1504109;Magalhães Barata; Pará;8 573
3342º;2313252;Tarrafas; Ceará;8 573
3343º;2603603;Camutanga; Pernambuco;8 572
3344º;2923308;Ouriçangas; Bahia;8 570
3345º;2204907;Isaías Coelho; Piauí;8 566
3346º;3152907;Pratápolis; Minas Gerais;8 566
3347º;4311155;Jóia; Rio Grande do Sul;8 566
3348º;5219704;Santa Terezinha de Goiás; Goiás;8 562
3349º;3102852;Angelândia; Minas Gerais;8 557
3350º;2205953;Marcolândia; Piauí;8 543
3351º;2512804;Riacho dos Cavalos; Paraíba;8 541
3352º;2509305;Mataraca; Paraíba;8 539
3353º;4127908;Tuneiras do Oeste; Paraná;8 533
3354º;3140530;Martins Soares; Minas Gerais;8 531
3355º;2916203;Itapé; Bahia;8 526
3356º;4123709;Santa Isabel do Ivaí; Paraná;8 523
3357º;2802700;Ilha das Flores; Sergipe;8 521
3358º;4314159;Paverama; Rio Grande do Sul;8 515
3359º;1718303;Praia Norte; Tocantins;8 498
3360º;2921609;Morpará; Bahia;8 497
3361º;2104073;Feira Nova do Maranhão; Maranhão;8 484
3362º;2106672;Milagres do Maranhão; Maranhão;8 483
3363º;3548054;Santo Antônio do Aracanguá; São Paulo;8 481
3364º;1200328;Jordão; Acre;8 473
3365º;1702000;Araguaçu; Tocantins;8 467
3366º;5107776;Santa Terezinha; Mato Grosso;8 460
3367º;3161700;São Gonçalo do Abaeté; Minas Gerais;8 459
3368º;4128559;Vera Cruz do Oeste; Paraná;8 454
3369º;3103702;Araponga; Minas Gerais;8 453
3370º;5104906;Jangada; Mato Grosso;8 451
3371º;2921450;Mirante; Bahia;8 447
3372º;3129608;Ibiaí; Minas Gerais;8 437
3373º;3148509;Pavão; Minas Gerais;8 419
3374º;3515202;Estrela d'Oeste; São Paulo;8 419
3375º;4203501;Campo Erê; Santa Catarina;8 418
3376º;2500775;Aparecida; Paraíba;8 416
3377º;4306932;Entre-Ijuís; Rio Grande do Sul;8 411
3378º;2703601;Japaratinga; Alagoas;8 403
3379º;1700707;Alvorada; Tocantins;8 396
3380º;3545159;Saltinho; São Paulo;8 393
3381º;2101970;Boa Vista do Gurupi; Maranhão;8 382
3382º;2700607;Barra de São Miguel; Alagoas;8 378
3383º;4215653;Santa Rosa do Sul; Santa Catarina;8 378
3384º;4308805;General Câmara; Rio Grande do Sul;8 361
3385º;2920304;Malhada de Pedras; Bahia;8 359
3386º;3151909;Pocrane; Minas Gerais;8 359
3387º;2800704;Brejo Grande; Sergipe;8 353
3388º;4304713;Caraá; Rio Grande do Sul;8 350
3389º;2501575;Barra de Santana; Paraíba;8 349
3390º;1400506;São João da Baliza; Roraima;8 348
3391º;2201960;Brasileira; Piauí;8 347
3392º;2916708;Itaquara; Bahia;8 347
3393º;3129004;Guiricema; Minas Gerais;8 343
3394º;2205854;Madeiro; Piauí;8 342
3395º;2407302;Marcelino Vieira; Rio Grande do Norte;8 336
3396º;4112751;Jesuítas; Paraná;8 330
3397º;1100502;Novo Horizonte do Oeste; Rondônia;8 329
3398º;3521606;Irapuru; São Paulo;8 325
3399º;2203008;Cristalândia do Piauí; Piauí;8 323
3400º;2505402;Desterro; Paraíba;8 315
3401º;3143450;Montezuma; Minas Gerais;8 315
3402º;3519808;Icém; São Paulo;8 304
3403º;2506251;Gado Bravo; Paraíba;8 303
3404º;3153509;Alto Jequitibá; Minas Gerais;8 301
3405º;2406601;Lagoa Salgada; Rio Grande do Norte;8 297
3406º;3146503;Pains; Minas Gerais;8 296
3407º;3517802;Guaraçaí; São Paulo;8 290
3408º;2922805;Nova Itarana; Bahia;8 279
3409º;2917359;Jaborandi; Bahia;8 277
3410º;3111408;Campo Florido; Minas Gerais;8 269
3411º;4211108;Monte Castelo; Santa Catarina;8 269
3412º;4117222;Nova Santa Rosa; Paraná;8 266
3413º;2202026;Buriti dos Montes; Piauí;8 264
3414º;2615904;Tuparetama; Pernambuco;8 256
3415º;4111555;Ivaté; Paraná;8 240
3416º;2402402;Carnaúba dos Dantas; Rio Grande do Norte;8 239
3417º;3156304;Rodeiro; Minas Gerais;8 224
3418º;3500402;Águas da Prata; São Paulo;8 221
3419º;2410900;Riachuelo; Rio Grande do Norte;8 220
3420º;4309050;Glorinha; Rio Grande do Sul;8 204
3421º;2914307;Iramaia; Bahia;8 197
3422º;3519907;Iepê; São Paulo;8 194
3423º;2412807;São Rafael; Rio Grande do Norte;8 192
3424º;4204905;Descanso; Santa Catarina;8 192
3425º;2919108;Lamarão; Bahia;8 191
3426º;2100402;Altamira do Maranhão; Maranhão;8 189
3427º;5221197;Terezópolis de Goiás; Goiás;8 186
3428º;2906402;Candeal; Bahia;8 181
3429º;3157252;Santa Bárbara do Leste; Minas Gerais;8 181
3430º;4216800;São José do Cerrito; Santa Catarina;8 173
3431º;5101605;Barão de Melgaço; Mato Grosso;8 164
3432º;5103601;Dom Aquino; Mato Grosso;8 159
3433º;4210308;Major Vieira; Santa Catarina;8 156
3434º;3528106;Macaubal; São Paulo;8 147
3435º;1716703;Colméia; Tocantins;8 141
3436º;4117008;Nova Fátima; Paraná;8 136
3437º;3154457;Riachinho; Minas Gerais;8 134
3438º;2307205;Jati; Ceará;8 130
3439º;2910305;Elísio Medrado; Bahia;8 126
3440º;3506409;Bilac; São Paulo;8 117
3441º;1717909;Ponte Alta do Tocantins; Tocantins;8 116
3442º;5214861;Nova Glória; Goiás;8 112
3443º;3531209;Monte Alegre do Sul; São Paulo;8 111
3444º;1400605;São Luís; Roraima;8 110
3445º;4127957;Tupãssi; Paraná;8 109
3446º;3128907;Guimarânia; Minas Gerais;8 105
3447º;4312252;Minas do Leão; Rio Grande do Sul;8 103
3448º;2413409;Serra Negra do Norte; Rio Grande do Norte;8 092
3449º;3527009;Lindóia; São Paulo;8 092
3450º;1505601;Peixe-Boi; Pará;8 081
3451º;3145877;Orizânia; Minas Gerais;8 079
3452º;3168804;Tiradentes; Minas Gerais;8 072
3453º;4121752;Reserva do Iguaçu; Paraná;8 069
3454º;4306056;Cristal; Rio Grande do Sul;8 067
3455º;4317004;Santana da Boa Vista; Rio Grande do Sul;8 067
3456º;1713601;Monte do Carmo; Tocantins;8 066
3457º;3147709;Passa Tempo; Minas Gerais;8 057
3458º;3521507;Irapuã; São Paulo;8 048
3459º;5213707;Montes Claros de Goiás; Goiás;8 047
3460º;3139706;Maravilhas; Minas Gerais;8 046
3461º;5204003;Cabeceiras; Goiás;8 046
3462º;4104105;Campo do Tenente; Paraná;8 045
3463º;2209971;São João do Arraial; Piauí;8 038
3464º;5204250;Cachoeira Dourada; Goiás;8 031
3465º;3124807;Estrela do Sul; Minas Gerais;8 018
3466º;3121100;Delfim Moreira; Minas Gerais;8 016
3467º;2708709;São Miguel dos Milagres; Alagoas;8 013
3468º;2915700;Itamari; Bahia;8 003
3469º;4218509;Treze Tílias; Santa Catarina;7 991
3470º;2403004;Cruzeta; Rio Grande do Norte;7 983
3471º;3135357;Japonvar; Minas Gerais;7 982
3472º;4201703;Ascurra; Santa Catarina;7 978
3473º;2507606;Juarez Távora; Paraíba;7 976
3474º;1600238;Ferreira Gomes; Amapá;7 967
3475º;4218251;Timbó Grande; Santa Catarina;7 941
3476º;3204252;Ponto Belo; Espírito Santo;7 940
3477º;5204854;Campo Limpo de Goiás; Goiás;7 940
3478º;2931103;Tanquinho; Bahia;7 928
3479º;3130309;Iguatama; Minas Gerais;7 923
3480º;5104526;Ipiranga do Norte; Mato Grosso;7 920
3481º;4103800;Cambira; Paraná;7 917
3482º;4316709;Santa Bárbara do Sul; Rio Grande do Sul;7 909
3483º;2410207;Portalegre; Rio Grande do Norte;7 906
3484º;5007554;Santa Rita do Pardo; Mato Grosso do Sul;7 900
3485º;2511103;Pedra Lavrada; Paraíba;7 899
3486º;4316501;Salvador do Sul; Rio Grande do Sul;7 889
3487º;3200359;Alto Rio Novo; Espírito Santo;7 874
3488º;3123528;Durandé; Minas Gerais;7 870
3489º;2306207;Itaiçaba; Ceará;7 866
3490º;2201051;Assunção do Piauí; Piauí;7 863
3491º;3165701;Senador Firmino; Minas Gerais;7 858
3492º;3511201;Catiguá; São Paulo;7 855
3493º;3523800;Itobi; São Paulo;7 852
3494º;3169208;Tombos; Minas Gerais;7 850
3495º;2301505;Arneiroz; Ceará;7 844
3496º;2806404;Santana do São Francisco; Sergipe;7 844
3497º;2104628;Governador Luiz Rocha; Maranhão;7 841
3498º;3519501;Ibirarema; São Paulo;7 841
3499º;5002159;Bodoquena; Mato Grosso do Sul;7 838
3500º;2505006;Cubati; Paraíba;7 832
3501º;2109759;Santa Filomena do Maranhão; Maranhão;7 826
3502º;2109551;Ribamar Fiquene; Maranhão;7 825
3503º;2922730;Nova Fátima; Bahia;7 821
3504º;2515971;Sobrado; Paraíba;7 815
3505º;3165305;São Vicente de Minas; Minas Gerais;7 815
3506º;1301951;Itamarati; Amazonas;7 814
3507º;4322301;Tuparendi; Rio Grande do Sul;7 810
3508º;4127809;Tomazina; Paraná;7 807
3509º;3105004;Baldim; Minas Gerais;7 803
3510º;3120870;Curral de Dentro; Minas Gerais;7 799
3511º;2919900;Macururé; Bahia;7 787
3512º;4109906;Icaraíma; Paraná;7 786
3513º;5202155;Araguapaz; Goiás;7 783
3514º;5103858;Gaúcha do Norte; Mato Grosso;7 782
3515º;2106359;Marajá do Sena; Maranhão;7 775
3516º;2606705;Ibirajuba; Pernambuco;7 768
3517º;2206506;Monsenhor Hipólito; Piauí;7 767
3518º;3553500;Tapiraí; São Paulo;7 766
3519º;4123303;Santa Cruz de Monte Castelo; Paraná;7 751
3520º;2507408;Jericó; Paraíba;7 745
3521º;1717503;Pium; Tocantins;7 743
3522º;3135456;Jenipapo de Minas; Minas Gerais;7 738
3523º;5204805;Campo Alegre de Goiás; Goiás;7 738
3524º;2508208;Lagoa de Dentro; Paraíba;7 737
3525º;2313708;Umari; Ceará;7 736
3526º;3552304;Sud Mennucci; São Paulo;7 728
3527º;4314001;Paraí; Rio Grande do Sul;7 727
3528º;3106408;Belo Vale; Minas Gerais;7 719
3529º;3518859;Guatapará; São Paulo;7 709
3530º;3164001;São Pedro dos Ferros; Minas Gerais;7 706
3531º;4314209;Pedro Osório; Rio Grande do Sul;7 706
3532º;2514909;São Mamede; Paraíba;7 702
3533º;4302451;Boqueirão do Leão; Rio Grande do Sul;7 702
3534º;2707404;Porto de Pedras; Alagoas;7 701
3535º;3550506;São Pedro do Turvo; São Paulo;7 696
3536º;4107751;Figueira; Paraná;7 696
3537º;2304608;General Sampaio; Ceará;7 694
3538º;2312809;Senador Sá; Ceará;7 691
3539º;3134806;Jacuí; Minas Gerais;7 691
3540º;5200605;Alto Paraíso de Goiás; Goiás;7 688
3541º;3521101;Ipeúna; São Paulo;7 687
3542º;3117836;Cônego Marinho; Minas Gerais;7 686
3543º;4319158;São Miguel das Missões; Rio Grande do Sul;7 683
3544º;3542701;Restinga; São Paulo;7 679
3545º;3543253;Ribeirão Grande; São Paulo;7 679
3546º;1715754;Palmeirópolis; Tocantins;7 676
3547º;2202083;Cajueiro da Praia; Piauí;7 674
3548º;3166907;Serrania; Minas Gerais;7 668
3549º;2200251;Alagoinha do Piauí; Piauí;7 665
3550º;2202778;Colônia do Piauí; Piauí;7 661
3551º;4215307;Salete; Santa Catarina;7 659
3552º;5212303;Leopoldo de Bulhões; Goiás;7 651
3553º;2300606;Altaneira; Ceará;7 650
3554º;2111250;São José dos Basílios; Maranhão;7 640
3555º;2804300;Muribeca; Sergipe;7 639
3556º;3505401;Barra do Turvo; São Paulo;7 632
3557º;5219001;Sanclerlândia; Goiás;7 632
3558º;2514206;São José da Lagoa Tapada; Paraíba;7 626
3559º;4314027;Paraíso do Sul; Rio Grande do Sul;7 623
3560º;5006408;Pedro Gomes; Mato Grosso do Sul;7 621
3561º;4207700;Ipumirim; Santa Catarina;7 620
3562º;1721109;Tocantínia; Tocantins;7 617
3563º;3122207;Divinolândia de Minas; Minas Gerais;7 614
3564º;3121803;Dionísio; Minas Gerais;7 609
3565º;2105989;Lajeado Novo; Maranhão;7 602
3566º;2312502;São João do Jaguaribe; Ceará;7 601
3567º;2610103;Palmeirina; Pernambuco;7 600
3568º;3137106;Lagamar; Minas Gerais;7 600
3569º;1718865;Santa Fé do Araguaia; Tocantins;7 595
3570º;2404853;Itajá; Rio Grande do Norte;7 595
3571º;3116704;Coimbra; Minas Gerais;7 594
3572º;4109500;Guaraqueçaba; Paraná;7 594
3573º;1503754;Jacareacanga; Pará;7 590
3574º;3138625;Limeira do Oeste; Minas Gerais;7 589
3575º;3158508;Santana de Pirapama; Minas Gerais;7 589
3576º;5004403;Inocência; Mato Grosso do Sul;7 588
3577º;2406304;Lagoa de Pedras; Rio Grande do Norte;7 584
3578º;1505494;Palestina do Pará; Pará;7 582
3579º;4207684;Ipuaçu; Santa Catarina;7 579
3580º;2616183;Vertente do Lério; Pernambuco;7 571
3581º;4212304;Paulo Lopes; Santa Catarina;7 569
3582º;2706604;Paulo Jacinto; Alagoas;7 560
3583º;3131109;Inimutaba; Minas Gerais;7 560
3584º;3142403;Moema; Minas Gerais;7 554
3585º;3200508;Apiacá; Espírito Santo;7 554
3586º;3553906;Tarabai; São Paulo;7 540
3587º;4103057;Boa Vista da Aparecida; Paraná;7 540
3588º;2606309;Granito; Pernambuco;7 537
3589º;1200054;Assis Brasil; Acre;7 534
3590º;3126000;Florestal; Minas Gerais;7 533
3591º;2101731;Belágua; Maranhão;7 528
3592º;3150570;Pintópolis; Minas Gerais;7 524
3593º;4214607;Rio do Oeste; Santa Catarina;7 520
3594º;4301750;Barão do Triunfo; Rio Grande do Sul;7 519
3595º;4106456;Coronel Domingos Soares; Paraná;7 518
3596º;3116506;Claro dos Poções; Minas Gerais;7 514
3597º;3125606;Felisburgo; Minas Gerais;7 504
3598º;2504157;Casserengue; Paraíba;7 499
3599º;3162203;São João Batista do Glória; Minas Gerais;7 498
3600º;3145059;Nova Porteirinha; Minas Gerais;7 497
3601º;2602506;Brejinho; Pernambuco;7 488
3602º;1500131;Abel Figueiredo; Pará;7 486
3603º;3162948;São José da Barra; Minas Gerais;7 480
3604º;3533601;Nuporanga; São Paulo;7 478
3605º;4120705;Quatiguá; Paraná;7 477
3606º;3135605;Jequitaí; Minas Gerais;7 468
3607º;3505104;Barbosa; São Paulo;7 468
3608º;4309506;Guarani das Missões; Rio Grande do Sul;7 463
3609º;3536406;Paulicéia; São Paulo;7 454
3610º;1710508;Itacajá; Tocantins;7 452
3611º;1101005;Governador Jorge Teixeira; Rondônia;7 445
3612º;3162609;São João do Oriente; Minas Gerais;7 444
3613º;4311502;Lavras do Sul; Rio Grande do Sul;7 444
3614º;4320263;Segredo; Rio Grande do Sul;7 444
3615º;2922201;Muniz Ferreira; Bahia;7 443
3616º;3101805;Alpercata; Minas Gerais;7 436
3617º;4218608;Trombudo Central; Santa Catarina;7 434
3618º;4101309;Antônio Olinto; Paraná;7 427
3619º;2110658;São Domingos do Azeitão; Maranhão;7 420
3620º;5005251;Laguna Carapã; Mato Grosso do Sul;7 419
3621º;2515005;São Miguel de Taipu; Paraíba;7 410
3622º;4100103;Abatiá; Paraná;7 408
3623º;4300646;Ametista do Sul; Rio Grande do Sul;7 403
3624º;5212105;Joviânia; Goiás;7 402
3625º;2924108;Pedrão; Bahia;7 394
3626º;4118709;Paulo Frontin; Paraná;7 387
3627º;2300804;Antonina do Norte; Ceará;7 378
3628º;4210407;Maracajá; Santa Catarina;7 378
3629º;2208908;Ribeiro Gonçalves; Piauí;7 376
3630º;4212007;Palma Sola; Santa Catarina;7 372
3631º;1501758;Brejo Grande do Araguaia; Pará;7 368
